grade,kanji
6,並
6,乱
6,乳
6,亡
6,仁
6,供
6,俳
6,俵
6,値
6,傷
6,優
6,党
6,冊
6,処
6,券
6,刻
6,割
6,創
6,劇
6,勤
6,危
6,卵
6,厳
6,収
6,后
6,否
6,吸
6,呼
6,善
6,困
6,垂
6,域
6,奏
6,奮
6,姿
6,存
6,孝
6,宅
6,宇
6,宗
6,宙
6,宝
6,宣
6,密
6,寸
6,専
6,射
6,将
6,尊
6,就
6,尺
6,届
6,展
6,層
6,己
6,巻
6,幕
6,干
6,幼
6,庁
6,座
6,延
6,律
6,従
6,忘
6,忠
6,恩
6,憲
6,我
6,批
6,承
6,担
6,拝
6,拡
6,捨
6,探
6,推
6,揮
6,操
6,敬
6,敵
6,映
6,晩
6,暖
6,暮
6,朗
6,机
6,枚
6,染
6,株
6,棒
6,模
6,権
6,樹
6,欲
6,段
6,沿
6,泉
6,洗
6,派
6,済
6,源
6,潮
6,激
6,灰
6,熟
6,片
6,班
6,異
6,疑
6,痛
6,皇
6,盛
6,盟
6,看
6,砂
6,磁
6,私
6,秘
6,穀
6,穴
6,窓
6,筋
6,策
6,簡
6,糖
6,系
6,紅
6,納
6,純
6,絹
6,縦
6,縮
6,署
6,翌
6,聖
6,肺
6,胃
6,背
6,胸
6,脳
6,腸
6,腹
6,臓
6,臨
6,至
6,舌
6,若
6,著
6,蒸
6,蔵
6,蚕
6,衆
6,裁
6,装
6,裏
6,補
6,視
6,覧
6,討
6,訪
6,訳
6,詞
6,誌
6,認
6,誕
6,誠
6,誤
6,論
6,諸
6,警
6,貴
6,賃
6,退
6,遺
6,郵
6,郷
6,針
6,銭
6,鋼
6,閉
6,閣
6,降
6,陛
6,除
6,障
6,難
6,革
6,頂
6,預
6,骨
